phi_mid,ratio,n_pix,tracer,shell,r_sh
5.0,1.7013736964108972,438,THINGS NA,1,7.031
15.0,1.5552760998043273,435,THINGS NA,1,7.031
25.0,1.7778701686906844,435,THINGS NA,1,7.031
35.0,1.7810314178032787,436,THINGS NA,1,7.031
45.0,1.7471718071403466,435,THINGS NA,1,7.031
55.0,1.3396176137021867,436,THINGS NA,1,7.031
65.0,1.1310967269865966,433,THINGS NA,1,7.031
75.0,1.61222339402302,434,THINGS NA,1,7.031
85.0,1.020013623767899,436,THINGS NA,1,7.031
95.0,1.0659165558286154,436,THINGS NA,1,7.031
105.0,1.0370386991779634,436,THINGS NA,1,7.031
115.0,0.995608351919903,435,THINGS NA,1,7.031
125.0,1.1444121392164441,432,THINGS NA,1,7.031
135.0,1.168942217539619,436,THINGS NA,1,7.031
145.0,1.362659929504117,434,THINGS NA,1,7.031
155.0,0.7814762798001824,434,THINGS NA,1,7.031
165.0,0.9483723254962392,437,THINGS NA,1,7.031
175.0,1.266318779428604,430,THINGS NA,1,7.031
185.0,2.4748846508482343,434,THINGS NA,1,7.031
195.0,3.220501160382246,436,THINGS NA,1,7.031
205.0,4.099638200442945,437,THINGS NA,1,7.031
215.0,2.925593253704414,434,THINGS NA,1,7.031
225.0,2.0547425625748383,436,THINGS NA,1,7.031
235.0,1.5267013328022505,434,THINGS NA,1,7.031
245.0,1.9799471741354413,435,THINGS NA,1,7.031
255.0,2.0681071904656303,437,THINGS NA,1,7.031
265.0,1.5518114675237122,434,THINGS NA,1,7.031
275.0,1.4942677525587333,436,THINGS NA,1,7.031
285.0,1.5638105105791062,433,THINGS NA,1,7.031
295.0,1.7640939221409608,433,THINGS NA,1,7.031
305.0,2.492316657787646,436,THINGS NA,1,7.031
315.0,1.9196814607611243,435,THINGS NA,1,7.031
325.0,1.1479582218171676,436,THINGS NA,1,7.031
335.0,1.0256795311467986,435,THINGS NA,1,7.031
345.0,1.5277265167958711,436,THINGS NA,1,7.031
355.0,1.3963804072874204,434,THINGS NA,1,7.031
5.0,1.9725102324864232,423,THINGS RO,1,7.031
15.0,1.2331531981163015,435,THINGS RO,1,7.031
25.0,1.5917526953029053,435,THINGS RO,1,7.031
35.0,1.8926856189521062,436,THINGS RO,1,7.031
45.0,1.7249273696072498,435,THINGS RO,1,7.031
55.0,1.3774125014993892,436,THINGS RO,1,7.031
