phi_mid,ratio,n_pix,tracer,shell,r_sh
235.0,1.1048838554029385,159,HALOGAS HR,2,3.955
245.0,1.1490226267629031,162,HALOGAS HR,2,3.955
255.0,1.1557206222732395,162,HALOGAS HR,2,3.955
265.0,0.7547010859605335,161,HALOGAS HR,2,3.955
275.0,0.8708268952129993,160,HALOGAS HR,2,3.955
285.0,3.033984480624525,163,HALOGAS HR,2,3.955
295.0,2.3537939483987227,161,HALOGAS HR,2,3.955
305.0,1.2372256386919867,161,HALOGAS HR,2,3.955
315.0,1.225966899381941,162,HALOGAS HR,2,3.955
325.0,1.6139548708340734,157,HALOGAS HR,2,3.955
335.0,2.8068720320996654,162,HALOGAS HR,2,3.955
345.0,1.943674115513213,164,HALOGAS HR,2,3.955
355.0,3.5938457956392935,157,HALOGAS HR,2,3.955
5.0,7.227591711457545,342,WISE W1,2,3.955
15.0,4.404255323704158,338,WISE W1,2,3.955
25.0,3.3324590553044433,341,WISE W1,2,3.955
35.0,3.7340524914572546,340,WISE W1,2,3.955
45.0,4.611140313559477,339,WISE W1,2,3.955
55.0,4.013248147980815,340,WISE W1,2,3.955
65.0,5.059668311933755,341,WISE W1,2,3.955
75.0,3.5350467207864904,340,WISE W1,2,3.955
85.0,3.671574732603841,340,WISE W1,2,3.955
95.0,2.5020196336335636,338,WISE W1,2,3.955
105.0,1.7841667583147747,343,WISE W1,2,3.955
115.0,2.3089534035435033,341,WISE W1,2,3.955
125.0,3.0094919960961475,341,WISE W1,2,3.955
135.0,4.202465614679232,338,WISE W1,2,3.955
145.0,4.390469393987293,341,WISE W1,2,3.955
155.0,3.1314392938501765,338,WISE W1,2,3.955
165.0,2.9757384463432888,342,WISE W1,2,3.955
175.0,3.260193357181581,340,WISE W1,2,3.955
185.0,4.038726344359938,342,WISE W1,2,3.955
195.0,2.4234170032218953,340,WISE W1,2,3.955
205.0,2.1639536170796823,340,WISE W1,2,3.955
215.0,2.1859227295965558,339,WISE W1,2,3.955
225.0,2.5993970891313745,341,WISE W1,2,3.955
235.0,2.885598067984101,338,WISE W1,2,3.955
