galaxy,r_sh,W1_ratio,pct_in_gal,z_score,n_pix_in,survey
DDO168,2.358185970861751,0.8208867832443979,7.5,-1.2410968533339068,1605,WISE-W1
DDO170,3.858604954182823,1.3831844097255723,92.64705882352942,0.44524836583949545,419,WISE-W1
ESO079-G014,6.361527049724578,0.9609278107593294,12.698412698412698,-1.2364291521682444,225,WISE-W1
IC2574,7.875890798446106,0.953746231195523,36.76470588235294,-0.437761749860224,15248,WISE-W1
NGC0024,9.44269081898906,1.07510537983634,69.11764705882354,0.2606346353984917,7559,WISE-W1
NGC0247,2.0444978744587994,1.2511873284788824,95.58823529411765,2.4134525345955686,1760,WISE-W1
NGC0891,8.759431672686521,2.769090826004527,76.11940298507463,0.06414474701993772,1490,WISE-W1
NGC1003,5.885333681347539,0.9587927332435913,13.636363636363637,-1.2150585857131302,787,WISE-W1
NGC1003,16.340598594988574,0.9855511551365422,46.96969696969697,-0.05758659217231512,7041,WISE-W1
NGC1090,4.657127025458815,0.9360913667454307,23.80952380952381,-0.7601511673293241,52,WISE-W1
NGC2403,1.0561385114192423,0.9910272257350385,98.0,3.603688892732341,872,WISE-W1
NGC2403,3.9552946625572583,2.2244228103780683,86.0,0.386557741231552,12266,WISE-W1
NGC2403,5.982278043977403,2.0004809111248547,78.0,-0.20097574542531182,28015,WISE-W1
NGC2841,25.876534454178895,1.2366457894839598,26.865671641791046,-0.48529410033623815,15690,WISE-W1
NGC2903,7.0312917735428915,2.8128010981037765,80.88235294117648,-0.08610262829296096,4669,WISE-W1
NGC3521,1.092071706255865,1.2620338090635628,98.52941176470588,4.238653870790218,49,WISE-W1
NGC3726,7.282495976061385,2.069677014223583,79.41176470588236,0.46011437993942794,1961,WISE-W1
NGC3741,4.558137252538821,0.9059540410015828,30.769230769230774,-0.41066559008747894,10058,WISE-W1
NGC4010,6.163870588458182,0.7295310613073349,7.575757575757576,-0.9852403293976902,374,WISE-W1
NGC4013,23.566755230567832,0.8294778393272116,36.507936507936506,-0.4820074934179004,2775,WISE-W1
NGC5033,7.49531756209634,1.8158951023662744,80.59701492537314,-0.14527466168269074,1163,WISE-W1
NGC5033,17.795569881200578,2.2062219468167235,50.746268656716424,-0.3246336772701246,6511,WISE-W1
NGC5055,8.787759368282599,2.4513278931098212,75.0,-0.18880330341477733,8682,WISE-W1
NGC5055,14.867747804520995,2.762114412406128,57.352941176470594,-0.33064806089705423,24826,WISE-W1
NGC5585,2.540141759980095,0.9577823000878632,9.836065573770492,-1.1012962208916655,805,WISE-W1
NGC5585,4.322066852334153,0.9499114283632509,22.950819672131146,-0.7013580055971934,2550,WISE-W1
NGC5585,7.00240107328629,1.007811786457977,52.459016393442624,-0.06782386354401733,6877,WISE-W1
NGC5907,20.712817848996146,0.8259802093687943,26.984126984126984,-0.33577666563882463,2192,WISE-W1
NGC6503,3.3914642459679625,1.0381059137075943,7.352941176470589,-0.9242041801049024,1054,WISE-W1
NGC6503,8.586072037390505,1.0042402580362273,85.29411764705883,0.6048234794417128,9078,WISE-W1
NGC6946,4.249051391107229,1.680861198246035,86.44067796610169,0.8273830329770038,5780,WISE-W1
NGC6946,11.069692493837696,0.956281124146301,64.40677966101694,-0.397603771941217,38852,WISE-W1
UGC02259,2.0271134698227655,1.3545184619305022,88.23529411764707,1.1712036266062429,233,WISE-W1
UGC04278,4.723313320372207,0.8483206654516889,4.838709677419354,-1.312195154960596,158,WISE-W1
UGC05716,6.997755522856086,1.0061758470442532,85.29411764705883,0.9451670504378763,6806,WISE-W1
UGC06818,4.0534819660919945,0.7314483987092838,3.076923076923077,-1.4352641873524503,163,WISE-W1
