Galaxy,T,V_flat,burk_a_kpc,burk_bic,burk_chi2,burk_chi2_red,burk_rho0,fw_best_bic,fw_best_chi2,fw_best_chi2_red,fw_best_n_shells,fw_n0_bic,fw_n0_chi2,fw_n0_chi2_red,fw_n1_M_sh1,fw_n1_bic,fw_n1_chi2,fw_n1_chi2_red,fw_n1_r_sh1_kpc,fw_n1_sigma_sh1_kpc,fw_n2_M_sh1,fw_n2_M_sh2,fw_n2_bic,fw_n2_chi2,fw_n2_chi2_red,fw_n2_r_sh1_kpc,fw_n2_r_sh2_kpc,fw_n2_sigma_sh1_kpc,fw_n2_sigma_sh2_kpc,is_clean,logM_halo,logM_star,n_excluded,n_pts_total,n_pts_used,nfw_bic,nfw_chi2,nfw_chi2_red,nfw_r_s_kpc,nfw_rho_s,ratio_fw_over_burk,ratio_fw_over_nfw
NGC0024,5,106.3,1.547108646470732,27.882619421423698,21.14802776145075,0.7832602874611388,384963086.2111849,19.958181207336356,3.121702057403987,0.13007091905849946,1,27.882619421423698,21.14802776145075,0.7832602874611388,12243933471.15765,19.958181207336356,3.121702057403987,0.13007091905849946,9.44269081898906,1.751082289732007,1014011238.5830604,3779346644.414389,27.55065802915831,0.6122913892665153,0.029156732822215013,0.7396225093891103,1.9406903795758614,0.2120767427942098,0.5477749785412614,True,11.502944290218425,9.28880794748348,0,29,29,31.877065443133276,25.142473783160327,0.9312027327096417,4.259937919065017,47513536.95640372,0.14761197084743372,0.12416049766331302
NGC0055,9,85.6,6.798098936105254,15.264844191214316,9.175799315767469,0.48293680609302464,11695677.523069194,15.264844191214316,9.175799315767469,0.48293680609302464,0,15.264844191214316,9.175799315767469,0.48293680609302464,4232694282.2944646,16.931167848823016,1.7085556602059002,0.10678472876286876,5.66909023142816,1.8993962723277582,1208632861.7019055,962108552.0117694,24.975415792879758,0.619236291092373,0.04763356085325946,6.747236550204287,4.101905975297687,0.06763258807321136,0.667527872460105,True,11.220765790679994,9.364363354615731,0,21,21,59.12498200702029,53.03593713157345,2.791365112188076,345.1443897571137,54130.486749820775,1.0,0.17301097731155043
NGC0100,6,88.1,4.737039354047202,7.7144656778696366,1.625420802422791,0.08554846328541005,27482929.52217859,7.7144656778696366,1.625420802422791,0.08554846328541005,0,7.7144656778696366,1.625420802422791,0.08554846328541005,331084080.4792208,16.360456157909635,1.1378439692925206,0.07111524808078254,3.4263623299745922,0.05945515294696029,818213670.2903682,3629778122.9523363,24.806806754141025,0.450627252353642,0.034663634796434,3.585115730925999,8.190544075102903,0.45990223597309554,1.1026289287560107,True,11.258272221884678,9.208441356438568,0,21,21,20.465894133054647,14.376849257607802,0.7566762767162001,462.4421818651055,64863.0128755336,1.0,0.11305820721203337
NGC0247,7,104.9,3.156103749381639,99.4889234467296,92.97273037068663,3.8738637654452766,50929873.87860606,17.655969907963467,1.3654872178560549,0.06502320085028833,1,99.4889234467296,92.97273037068663,3.8738637654452766,1917098879.9608123,17.655969907963467,1.3654872178560549,0.06502320085028833,2.04449829599143,0.7561130710451548,2225049772.1894517,6415131822.608438,26.47093920763791,0.4061669034660545,0.022564827970336362,2.1472348371003522,7.971707338108284,0.7792560038471892,2.597217781793647,True,11.485670961229207,9.564192460626195,0,26,26,46.45510102912483,39.938907953081866,1.6641211647117444,22.15703508263592,1965438.4624311414,0.014686964795072635,0.034189397953999084
NGC0289,4,163.0,9.854168204897986,74.18837266490654,67.52396364455613,2.5970755247906205,20135544.19215617,37.313033093985354,20.652010543109338,0.8979135018743191,1,74.18837266490654,67.52396364455613,2.5970755247906205,127784556416.48854,37.313033093985354,20.652010543109338,0.8979135018743191,34.51998736200144,5.90503830036806,19719500687.014137,159438933577.42755,39.76357800832107,13.105941926919439,0.6552970963459719,9.414063001160033,34.27916748023006,0.11674775254544775,7.02525088154882,True,12.059907309860408,10.556694395304326,0,28,28,57.43184581419879,50.76743679384838,1.9525937228403225,19.461023215557262,5045026.22038749,0.3058471308322602,0.40679640035739983
NGC0300,7,93.3,3.7878764309626924,19.85482505399036,13.417073404253959,0.5833510175762591,45866159.05511878,19.85482505399036,13.417073404253959,0.5833510175762591,0,19.85482505399036,13.417073404253959,0.5833510175762591,3429671968.676787,21.6643519264988,5.569972802157796,0.2784986401078898,9.017186639291705,0.24750871901519175,1445982600.6461775,7539593725.313222,27.766471816145366,2.0154652171997616,0.11855677748233892,3.227656869453682,8.61614271873811,0.06623061692136277,1.0304506964556255,True,11.332989427888034,9.164650215934296,0,25,25,21.325317748836078,14.887566099099676,0.6472854825695511,20.195605011673123,2447105.803157016,1.0,0.901226789855553
NGC0801,5,220.1,12.671138210535645,134.4566422913399,129.66085174574317,14.406761305082576,13721604.653364351,14.481661517578104,2.49218515358625,0.415364192264375,1,134.4566422913399,129.66085174574317,14.406761305082576,444749503264.43604,14.481661517578104,2.49218515358625,0.415364192264375,46.98384379864382,20.056444754582625,10555819230.478407,58578208881.68423,19.402629013980356,0.2194668315933898,0.07315561053112994,2.0916115829607267,11.999999999999998,0.9609393210205276,5.569516472204243,False,12.45120462430858,11.193917297086106,2,13,11,72.80443722467805,68.00864667908131,7.556516297675701,21.416934012070584,4752044.780835701,0.01922079887669772,0.03664512198494928
NGC0891,3,216.1,12.00881272493963,38.14313475727621,32.86502009804569,2.738751674837141,17976546.83793766,15.629199183326985,2.4339125352506934,0.2704347261389659,1,38.14313475727621,32.86502009804569,2.738751674837141,36945088137.846855,15.629199183326985,2.4339125352506934,0.2704347261389659,8.759431672686521,1.622988269965763,22548326918.71018,10829247859.193396,22.181433949308047,1.0689753123859806,0.1781625520643301,9.466097163115373,6.984141867500995,0.9554373234151176,0.07111492768436332,False,12.427308797298258,10.83991777567868,4,18,14,53.307894190593224,48.029779531362706,4.002481627613559,499.9999999131606,110664.81640523423,0.07405784411479564,0.05067507198656588
NGC1003,6,109.8,9.336391396690544,195.68970369892273,188.5226658220105,5.544784288882662,10372132.666291377,39.07964394692378,10.411492439274905,0.37183901568838945,2,195.68970369892273,188.5226658220105,5.544784288882662,9589221873.120605,48.42429175230252,30.50669706002197,0.9840870019361926,5.23450253857621,1.8826280066713117,13907371741.87736,15070195747.668322,39.07964394692378,10.411492439274905,0.37183901568838945,5.885333681347539,16.340598594988574,2.1661674169492255,2.0572919791977373,True,11.545151516990751,9.532754378992498,0,36,36,94.46496488263327,87.29792700572105,2.5675860884035604,29.669309647096796,1209813.3754235003,0.055226741006859544,0.1192639137764702
NGC1090,4,164.4,7.163803192076718,43.93781694258461,37.75573203586798,1.8877866017933989,28768147.072879247,24.33647836418399,8.881266097392407,0.522427417493671,1,43.93781694258461,37.75573203586798,1.8877866017933989,18166554696.770718,24.33647836418399,8.881266097392407,0.522427417493671,4.657127025458815,1.0381360980194196,18141122662.13861,3770252215.407125,31.63964890526932,6.91130927840279,0.49366494845734216,4.666207571205219,19.02139907851721,1.0409160705794103,1.0751664367976697,False,12.071049936260628,10.556573850030665,2,24,22,46.82652507868579,40.64444017196916,2.032222008598458,19.10514443192363,4250289.085934852,0.2352296093466072,0.21851121727388093
