phi_mid,ratio,n_pix,tracer,shell,r_sh
5.0,0.7987888790196183,414,THINGS NA,1,4.249
15.0,0.6732336539129454,423,THINGS NA,1,4.249
25.0,0.6747082568124724,415,THINGS NA,1,4.249
35.0,0.7982288295484433,419,THINGS NA,1,4.249
45.0,0.791835722425369,417,THINGS NA,1,4.249
55.0,1.7000468154452928,420,THINGS NA,1,4.249
65.0,1.2454635429915375,418,THINGS NA,1,4.249
75.0,0.7926199071547564,418,THINGS NA,1,4.249
85.0,1.1886626692992914,416,THINGS NA,1,4.249
95.0,0.7475483965321077,420,THINGS NA,1,4.249
105.0,0.7988070434756043,416,THINGS NA,1,4.249
115.0,1.0441087165409446,419,THINGS NA,1,4.249
125.0,0.8096146351861839,417,THINGS NA,1,4.249
135.0,0.9507155844687274,422,THINGS NA,1,4.249
145.0,1.4046789422940067,417,THINGS NA,1,4.249
155.0,1.3172039190243523,419,THINGS NA,1,4.249
165.0,0.8414737656553399,418,THINGS NA,1,4.249
175.0,1.1954111037021724,419,THINGS NA,1,4.249
185.0,1.681178275779002,416,THINGS NA,1,4.249
195.0,1.1145354417179711,420,THINGS NA,1,4.249
205.0,0.6520957766732746,420,THINGS NA,1,4.249
215.0,1.1125521965908463,419,THINGS NA,1,4.249
225.0,1.0686960379987644,420,THINGS NA,1,4.249
235.0,0.6379592543000089,418,THINGS NA,1,4.249
245.0,1.3880161404579463,421,THINGS NA,1,4.249
255.0,1.8229062427217002,417,THINGS NA,1,4.249
265.0,1.3616139069201454,417,THINGS NA,1,4.249
275.0,0.9346155246907646,416,THINGS NA,1,4.249
285.0,0.7883810927640112,419,THINGS NA,1,4.249
295.0,0.5565434012216406,414,THINGS NA,1,4.249
305.0,0.9713239250684635,421,THINGS NA,1,4.249
315.0,0.5487571682788578,416,THINGS NA,1,4.249
325.0,0.4795386941861349,422,THINGS NA,1,4.249
335.0,1.1482941900215626,415,THINGS NA,1,4.249
345.0,1.015677551415796,420,THINGS NA,1,4.249
355.0,0.768713839041814,418,THINGS NA,1,4.249
5.0,0.8190678386644344,408,THINGS RO,1,4.249
15.0,0.6794623038625219,410,THINGS RO,1,4.249
25.0,0.695100000229297,391,THINGS RO,1,4.249
35.0,0.9288152152558462,399,THINGS RO,1,4.249
45.0,0.7663381427454938,386,THINGS RO,1,4.249
55.0,1.3773674898773869,408,THINGS RO,1,4.249
65.0,1.2444748218117665,376,THINGS RO,1,4.249
75.0,0.9367006816339887,364,THINGS RO,1,4.249
85.0,1.201175581367929,409,THINGS RO,1,4.249
95.0,0.752241612377264,403,THINGS RO,1,4.249
105.0,0.8132800275117248,401,THINGS RO,1,4.249
115.0,0.9484166863762735,418,THINGS RO,1,4.249
125.0,0.765499999885663,407,THINGS RO,1,4.249
135.0,0.8487249105011992,411,THINGS RO,1,4.249
145.0,1.202945264888246,400,THINGS RO,1,4.249
155.0,1.2541105818350038,409,THINGS RO,1,4.249
165.0,0.8325266758884877,411,THINGS RO,1,4.249
175.0,1.1859598705419256,415,THINGS RO,1,4.249
185.0,1.4113624425446352,416,THINGS RO,1,4.249
195.0,0.9974057458815743,409,THINGS RO,1,4.249
