Galaxy,T,V_flat,n_pts,M_central_estimate,fw_best_n_shells,fw_best_bic,fw_best_chi2,fw_best_chi2_red,burk_rho0,burk_a_kpc,shell1_r_kpc,shell1_M,shell1_sigma_kpc,shell1_M_BH_single,shell1_decomp_n_BH,shell1_decomp_M_BH_each,shell1_decomp_central_ratio,shell1_decomp_acceptable,shell2_r_kpc,shell2_M,shell2_sigma_kpc,shell2_M_BH_single,shell2_decomp_n_BH,shell2_decomp_M_BH_each,shell2_decomp_central_ratio,shell2_decomp_acceptable,shell3_r_kpc,shell3_M,shell3_sigma_kpc,shell3_M_BH_single,shell3_decomp_n_BH,shell3_decomp_M_BH_each,shell3_decomp_central_ratio,shell3_decomp_acceptable,shell4_r_kpc,shell4_M,shell4_sigma_kpc,shell4_M_BH_single,shell4_decomp_n_BH,shell4_decomp_M_BH_each,shell4_decomp_central_ratio,shell4_decomp_acceptable
F571-8,5,139.7,13,14192738.974418007,0,13.703174948832629,9.308725794160189,1.3298179705943127,29068791.30648465,8.157261761179566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F571-V1,7,83.6,7,1482209.6940727152,0,4.048744979289803,0.15692468117917643,0.031384936235835284,17634950.86652221,5.440086689575692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F574-1,7,97.8,14,2955922.1350647374,0,6.409047089074895,1.1309324298443786,0.09424436915369822,53940499.73553294,3.5408736135661827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F583-1,9,85.8,25,1661675.035288747,0,10.91855489407332,4.4808032443369195,0.19481753236247476,25830810.702880066,4.588204579385086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC2574,9,66.4,34,537949.586266365,1,33.865118456004765,16.233315832923957,0.5597695114801364,7222382.845839337,4.951053876477528,7.875890798446106,3756015168.68245,1.2443965398822934,7329.323959178246,2.0,3664.661979589123,0.00681227771736694,True,,,,,,,,,,,,,,,,,,,,,,,,
IC4202,4,242.6,32,160961323.12468985,2,35.204083730936624,8.265717091044833,0.39360557576403965,8819540.637837531,20.539869259791246,3.925190794891922,11875405510.507639,0.04133154547524633,1095773.39251399,1.0,1095773.39251399,0.006807681318978356,True,6.29501762097986,26111131905.4397,0.8726077329144601,33743629.14184535,5.0,6748725.828369071,0.041927623961820454,False,,,,,,,,,,,,,,,,
KK98-251,10,33.7,15,27212.822721480326,0,9.343282436619429,3.9271820344150097,0.3020909257242315,12213585.635664137,3.413021799166313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC0024,5,106.3,29,4265288.311073059,1,19.958181207336356,3.121702057403987,0.13007091905849946,503385478.73821324,1.228369708907537,9.44269081898906,12243933471.15765,1.751082289732007,1251572.9866370028,5.0,250314.59732740055,0.05868644252665455,False,,,,,,,,,,,,,,,,,,,,,,,,
NGC0055,9,85.6,21,1644699.624229924,0,15.264844191214316,9.175799315767469,0.48293680609302464,11695677.523069194,6.798098936105254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC0100,6,88.1,21,1866792.406421395,0,7.7144656778696366,1.625420802422791,0.08554846328541005,27482929.52217859,4.737039354047202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC0247,7,104.9,26,4023594.2298951056,1,17.655969908016225,1.3654872179088144,0.0650232008528007,8063791.3777182335,11.62455769622293,2.0444978744587994,1917098007.43585,0.7561128167943824,393.09975552742407,1.0,393.09975552742407,9.769865773410061e-05,True,,,,,,,,,,,,,,,,,,,,,,,,
NGC0289,4,163.0,28,27978697.190716844,1,37.31335212890514,20.652329578029118,0.8979273729577877,90702067.7445339,4.1442207382661005,34.52572068553257,128059835466.58727,5.920893029791277,34060128869.704144,5.0,6812025773.940828,243.4718717425133,False,,,,,,,,,,,,,,,,,,,,,,,,
NGC0300,7,93.3,25,2402598.829192271,0,19.85482505399036,13.417073404253959,0.5833510175762591,45866159.05511878,3.7878764309626924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC0801,5,220.1,13,104889065.43541616,1,14.481661517578104,2.49218515358625,0.415364192264375,107962838.53608939,2.9802149475228625,46.98384379864382,444749503264.43604,20.056444754582625,7661297057101.261,5.0,1532259411420.2522,14608.380817004396,False,,,,,,,,,,,,,,,,,,,,,,,,
NGC0891,3,216.1,18,96757135.57450627,1,15.629199183326985,2.4339125352506934,0.2704347261389659,2541404.862048419,199.99999999953104,8.759431672686521,36945088137.846855,1.622988269965763,152711476.19670323,5.0,30542295.239340644,0.31565935740028234,False,,,,,,,,,,,,,,,,,,,,,,,,
NGC1003,6,109.8,36,4918722.5396309,2,39.07964394692378,10.411492439274905,0.37183901568838945,829602.5852356744,44.85696047889516,5.885333681347539,13907371741.87736,2.1661674169492255,2178291.646095235,5.0,435658.329219047,0.08857143815469996,False,16.340598594988574,15070195747.668322,2.0572919791977373,3088994.8654336473,5.0,617798.9730867294,0.1256015089505514,False,,,,,,,,,,,,,,,,
NGC1090,4,164.4,24,29051596.709765334,1,24.33647836418399,8.881266097392407,0.522427417493671,6346366.725435138,14.898009354357212,4.657127025458815,18166554696.770718,1.0381360980194196,6963629.924756876,5.0,1392725.9849513753,0.04793973972808275,False,,,,,,,,,,,,,,,,,,,,,,,,
NGC2403,6,131.2,73,10767401.382423267,3,95.64586315384946,48.450809301217156,0.7814646661486638,9440597.179527326,11.875477493779655,1.0561385114192423,1471868698.1506023,0.4183424686150991,124.51751697369038,1.0,124.51751697369038,1.1564305309259956e-05,True,3.9552946625572587,6833116874.338391,0.8583242715577486,98990.15246785342,1.0,98990.15246785342,0.0091935044447628,True,5.982278043977403,2096895812.3177006,0.5796471897805129,580.576306043474,1.0,580.576306043474,5.39198164369732e-05,True,,,,,,,,
NGC2683,3,154.0,11,21791804.811994694,0,11.021381341119248,6.225590795522508,0.691732310613612,112155433.73828346,3.9724783829448747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC2841,3,284.8,50,325970247.6773059,2,44.96503559053686,13.668851547111693,0.3254488463598022,377125462.59974015,3.7433273209177123,51.39387800355641,388186520003.4031,6.035264870959903,4239610492790.182,5.0,847922098558.0364,2601.2254326886805,False,25.876534454178895,128617192859.72034,5.548334091771049,34709692474.51129,5.0,6941938494.902258,21.2962334580131,False,,,,,,,,,,,,,,,,
NGC2903,4,184.6,34,48375057.47893993,1,37.933728319184695,21.09724916925233,0.879052048718847,17719406.887720693,10.040464755346065,7.0312917735428915,19597078696.9586,2.1067688480614453,9683499.052700577,5.0,1936699.8105401155,0.0400350906328795,False,,,,,,,,,,,,,,,,,,,,,,,,
NGC2915,11,83.5,30,1474424.438733975,0,16.436583412614628,9.77217439226422,0.3758528612409316,135241505.32300612,2.026857349031712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC2976,5,85.4,27,1627858.5302729614,0,12.067090959510953,5.71098329881506,0.2595901499461391,83707763.628678,3.3148269456773893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC2998,5,209.9,13,85124928.15531185,1,16.879072232906427,4.054325445598743,0.5067906806998429,13086407.70549511,13.633420090005142,2.254350183685801,17013766519.967447,1.0758382260680766,5235787.823587125,5.0,1047157.564717425,0.012301420834175255,False,,,,,,,,,,,,,,,,,,,,,,,,
NGC3109,9,66.2,25,530856.5522760485,0,9.864807034247391,3.427055384510991,0.14900240802221698,21153865.15269628,4.6819465914493685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC3198,5,150.1,43,19466015.931973737,1,37.00447166732911,18.560074396759433,0.5302878399074124,36038698.902175985,6.172613095479484,79.99999999999872,677611850494.3278,24.189571418315506,47837372509720.97,5.0,9567474501944.193,491496.28436444566,False,,,,,,,,,,,,,,,,,,,,,,,,
NGC3521,4,213.7,41,92117453.99681506,1,20.782298770541857,2.2144384370203176,0.061512178806119935,29777860.38214579,9.689204493752195,1.092071706255865,2793545364.806406,0.47245665591610786,2021.9826197276293,1.0,2021.9826197276293,2.1950048899501054e-05,True,,,,,,,,,,,,,,,,,,,,,,,,
NGC3726,5,168.0,12,31956769.356237844,1,18.357847422128923,5.933314173188922,0.8476163104555603,1332626.4323205973,184.91677160534476,7.282495976061385,16518523665.65728,1.1112848423623873,4604419.133779295,5.0,920883.826755859,0.028816549523210982,False,,,,,,,,,,,,,,,,,,,,,,,,
NGC3741,10,50.1,21,155771.5073445307,1,21.523293953016328,6.300681764399213,0.3937926102749508,59326232.20380465,1.0423454980994409,4.558137252538821,2738280027.9737906,1.4466037341629687,1853.6540566517756,2.0,926.8270283258878,0.005949913717378108,True,,,,,,,,,,,,,,,,,,,,,,,,
NGC3769,3,118.6,12,6905174.536166029,0,10.43777936208641,5.641988816489667,0.6268876462766297,22870875.745616954,6.533191146732119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC3877,5,168.4,13,32292912.22524284,0,11.893078148195617,7.097287602598875,0.788587511399875,612510084.2649623,1.217018928306068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC3893,5,174.0,10,37292261.512982,0,7.431992330958594,2.826822144970502,0.3533527681213128,69404693.34306891,5.128264918629717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC3917,6,135.9,17,12570936.662438303,0,14.467315170018843,8.922137725539281,0.6372955518242344,52879380.324358836,4.610238390512981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC3949,4,163.0,7,27978697.190716844,0,5.981835748084994,2.0900154499743677,0.41800308999487357,25642953.721805986,11.569235248182014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC3953,4,220.8,8,106364801.13919717,0,5.262346993139207,1.1034639097795353,0.18391065162992257,152752492.0114446,3.404674631221639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC3972,4,132.7,10,11319678.420967551,0,10.895041012659231,6.28987082667114,0.7862338533338925,68902651.00749058,3.895629850285015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC3992,4,241.0,9,156342486.9214993,0,9.363774431709484,4.9693252770370435,0.709903611005292,83956376.3943866,6.802961147128208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC4010,7,125.8,12,8949460.375365213,1,13.551599504973302,1.1270662560333,0.1610094651476143,9227379044.299276,0.10000000000002823,6.163870588458182,22534580165.83188,1.7089812607924417,17778503.439990148,5.0,3555700.6879980294,0.3973089481222411,False,,,,,,,,,,,,,,,,,,,,,,,,
NGC4013,3,172.9,36,36266028.54290237,1,35.792687835994215,17.875093143713666,0.5766159078617312,36035561.85228281,5.972731044559968,23.566755230567832,72393896519.89627,3.6436000338131405,2849072455.9789934,5.0,569814491.1957986,15.712073091259866,False,,,,,,,,,,,,,,,,,,,,,,,,
NGC4051,4,157.0,7,23722502.398550097,0,6.98913304470104,3.097312746590413,0.6194625493180826,73619428.77591912,2.8958490413775224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC4085,5,131.5,7,10876153.818072325,0,4.482758427372581,1.2638826025043806,0.4212942008347935,27930684.413429018,6.09585682973553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC4088,4,171.7,12,35171535.37040465,0,6.087889309151591,1.6934401544791522,0.2419200220684503,1960409.2348802122,199.99999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC4100,4,158.2,24,24530733.6453581,0,19.852981940420243,13.496874279724352,0.613494285442016,128980625.71041389,3.7370849069448067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC4138,0,147.3,7,17918189.06328078,0,7.327790448967562,3.435970150856936,0.6871940301713872,222215109.40323406,2.5079577337947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC4157,3,184.7,17,48490467.20473256,0,8.970242295308267,3.554141893103848,0.27339553023875757,8884763.213123666,15.855278058000078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC4183,6,110.6,23,5078372.897058564,0,14.338471720427632,8.067483288569333,0.38416587088425397,64879272.25317342,3.436069326138445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC4217,3,181.3,19,44684033.28426671,0,10.264936690629037,5.469146145032296,0.6076829050035885,9356679.91970346,15.395859625808223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC4559,6,121.2,32,7596500.239556627,0,14.306397016068782,7.37492521046933,0.24583084034897768,18051502.52404454,7.0082258549986385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC5005,4,262.2,18,226561365.20636076,0,5.474463454689915,0.3445647397668419,0.03132406725153108,31530825.09443635,11.575445166419005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC5033,5,194.2,22,60464243.16290597,2,41.70328938764909,17.737431199217163,1.4781192666014302,334272.7339356967,199.99999999999997,7.49531756209634,55575891841.46651,2.486526371205118,902102771.1228538,5.0,180420554.22457075,2.983921484611527,False,17.795569881200578,129980005308.96686,5.308841094628188,36338165127.94093,5.0,7267633025.588186,120.19720491675294,False,,,,,,,,,,,,,,,,
NGC5055,4,179.0,28,42243059.500908844,2,32.1094824027736,7.38114277590707,0.5272244839933621,1995362.8076583454,30.16108504631129,8.787759368282599,15337902666.879503,1.6915038880369797,3334893.7505146135,5.0,666978.7501029227,0.01578907299762634,False,14.867747804520997,42796983065.63099,3.230321946045872,289499103.92172176,5.0,57899820.78434435,1.3706351165946837,False,,,,,,,,,,,,,,,,
NGC5371,4,209.5,19,84413469.12306911,1,29.02183837782502,14.299643481992819,1.02140310585663,1297359767.2412982,1.029868794073381,62.59555815514331,999999999999.989,20.87666202942752,260015956316513.9,5.0,52003191263302.78,616053.2413078019,False,,,,,,,,,,,,,,,,,,,,,,,,
NGC5585,7,90.3,24,2080789.4153104878,3,54.12929419335873,19.17070205953133,1.4746693891947176,1183472421.6901643,0.1544045617525148,2.540141759980095,2041362045.2498531,0.6218496993331989,516.5973278928151,1.0,516.5973278928151,0.0002482698749290448,True,4.322066852334153,2640704469.5592613,1.001919722380101,1583.0007923775272,1.0,1583.0007923775272,0.0007607693410634337,True,7.00240107328629,10365031943.364515,1.6595527483464605,606362.4584897486,5.0,121272.49169794974,0.05828196299232611,False,,,,,,,,
NGC5907,5,215.0,19,94608738.61937612,2,36.463623948477434,12.908112115145912,1.1734647377405374,599933451.8328105,2.0662023157772156,40.2819164748029,138826888362.69308,3.889218853645492,48390500574.21516,5.0,9678100114.84303,102.29604850540656,False,20.712817848996142,82299814909.08641,3.9904122134884528,4977199335.173991,5.0,995439867.0347983,10.521648227861792,False,,,,,,,,,,,,,,,,
NGC5985,3,293.6,33,372673621.8291424,2,37.41713258721214,9.445072095480294,0.37780288381921173,1948084.960327052,56.27283536289137,7.071625293039011,185918740483.96707,3.468748721747481,172407352671.859,5.0,34481470534.3718,92.52458053009272,False,21.571265154356663,119627591652.86472,3.301715090167575,25325989018.05641,5.0,5065197803.611282,13.591511464510079,False,,,,,,,,,,,,,,,,
NGC6015,6,154.1,44,21854135.87827992,2,61.04634906198454,30.772831990638455,0.854800888628846,12010419.047699347,11.755365692578467,1.0157954066812729,2401615744.711368,0.29729864994657884,1047.5875323133982,1.0,1047.5875323133982,4.7935436026759574e-05,True,2.680489584626583,6980462231.963061,0.4568135791262011,108616.59655162979,1.0,108616.59655162979,0.0049700705237940845,True,,,,,,,,,,,,,,,,
NGC6195,3,251.7,23,189272786.98580575,1,21.225757450189796,6.247096082419842,0.4164730721613228,3775247.169455613,32.01878925282871,2.251162958921487,4213890382.9855523,0.16684884754812235,12088.490343936566,1.0,12088.490343936566,6.386808445338276e-05,True,,,,,,,,,,,,,,,,,,,,,,,,
NGC6503,6,116.3,31,6335089.771241936,2,37.18471542060528,9.71281778472411,0.42229642542278745,882646.560112797,74.04505765140651,3.3914642459679625,5346600550.312285,0.606028428683428,34051.65021381572,1.0,34051.65021381572,0.00537508566467247,True,8.586072037390505,22475284207.88216,3.7160737145813774,17575900.539026417,5.0,3515180.1078052833,0.5548745534376484,False,,,,,,,,,,,,,,,,
NGC6674,3,241.3,15,157200616.54324117,1,20.926144296716352,7.3858932912053,0.73858932912053,299992100.3881731,3.855065155799478,58.54714047136369,427193197231.2142,12.024455912908067,6430071879448.317,5.0,1286014375889.6636,8180.720942248465,False,,,,,,,,,,,,,,,,,,,,,,,,
NGC6946,6,158.9,58,25011928.373852707,2,50.00966864479693,17.951003162937166,0.3819362375093014,19081830.191029415,7.644437955341597,4.249051391107229,5380553315.438887,0.42628806022377363,35002.34855840411,1.0,35002.34855840411,0.001399426227167487,True,11.069692493837696,5730673299.447171,0.1625480978500519,46046.283106616844,1.0,46046.283106616844,0.0018409729317293785,True,,,,,,,,,,,,,,,,
NGC7331,3,239.0,36,150713721.15253967,0,18.87845159378895,12.214042573438542,0.4697708682091747,7273057.546579187,23.255105998455157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC7814,2,218.9,18,102396091.4423538,1,14.506688973565145,0.6437453623662398,0.058522305669658166,11534590.209993545,17.618952157996294,5.637714249666431,35137232123.917564,1.8348289635898316,122769032.25430918,5.0,24553806.450861834,0.2397924188804116,False,,,,,,,,,,,,,,,,,,,,,,,,
UGC00128,8,129.3,22,10098003.993027901,3,42.38884966964345,8.387382682701968,0.762489334791088,42685760.66151779,4.770003308695068,17.334150239060317,13205417423.482365,1.936510723381516,1738888.6873217341,5.0,347777.7374643468,0.034440245587590144,False,42.09652400326064,39855805476.49053,2.0920742390374443,212392129.29244646,5.0,42478425.85848929,4.206616068662504,False,28.255886908892528,22882938695.361233,3.865133139919633,19005369.493647058,5.0,3801073.8987294114,0.37641833983763895,False,,,,,,,,
UGC00731,10,73.3,12,831111.9313510051,0,10.671706591895326,5.701893292319326,0.5701893292319327,62015633.50779811,2.356826856993965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGC01281,8,55.2,25,238634.90644176232,0,10.320522170416169,3.8827705206797685,0.16881610959477253,28422769.01329979,3.307517251855521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGC02259,8,86.2,8,1696031.8288230235,1,10.542956408144493,0.14574869974531374,0.04858289991510458,9291429.177382112,9.643534969100486,2.0271134698227655,3623068591.826305,1.0677555887493722,6265.893648683585,1.0,6265.893648683585,0.0036944434309536854,True,,,,,,,,,,,,,,,,,,,,,,,,
UGC02487,0,332.0,17,640043655.454088,4,52.43840621103818,12.77341939425115,4.2578064647503835,82960520.81862009,8.887037001031887,2.628387448740675,61670004838.57138,1.0981736105971933,1418475450.4960139,5.0,283695090.09920275,0.4432433439214881,False,25.59813597980657,157750322277.9093,1.08143178009469,84366612181.33138,5.0,16873322436.266275,26.362768058836956,False,51.37271475589845,7071494485.7566395,28.638152081181733,114914.21394809174,1.0,114914.21394809174,0.00017954121249208265,True,63.83325624001795,190393314385.96387,5.051321944783018,191198671190.89542,5.0,38239734238.179085,59.74550940755653,False
UGC02885,5,289.5,19,350312575.6790032,1,19.716397367712958,4.994202471880755,0.3567287479914825,17210404.33724557,12.81685514428939,63.9521248008745,999999999999.9703,27.981595756245056,260015956316492.66,5.0,52003191263298.53,148447.97153656813,False,,,,,,,,,,,,,,,,,,,,,,,,
UGC02916,2,182.7,43,46222309.046415165,1,34.426080871440845,17.09740135744221,0.6332370873126744,7599206.146745979,13.898865014037023,7.795881240066159,29262468687.13047,1.3364860429873393,55392719.15534223,5.0,11078543.831068445,0.23967958459071523,False,,,,,,,,,,,,,,,,,,,,,,,,
UGC02953,2,264.9,115,237007803.33688298,2,228.30193164150373,190.99441888860719,1.9489226417204815,25319873.386725858,12.493964877610454,5.597556486617554,47885448944.321075,1.5745976920890161,471938601.240027,5.0,94387720.2480054,0.3982473105066615,False,55.43113462620359,110903284171.18202,23.1251126164306,18218313484.748188,5.0,3643662696.9496374,15.373598023566059,False,,,,,,,,,,,,,,,,
UGC03205,2,219.6,48,103844692.8310385,3,50.879115253523295,8.764059892143255,0.250401711204093,1133919.7302252462,199.99999999991215,3.5718168962295116,37536402947.82832,1.2539950060370553,163632301.41472337,5.0,32726460.28294467,0.3151481254433731,False,14.106472873755878,71798292706.95006,3.2006000063162463,2748504232.692381,5.0,549700846.5384762,5.293490033553012,False,29.99999999979144,870809557.7138863,23.999999999832866,12.69596930444118,1.0,12.69596930444118,1.2225920225984276e-07,True,,,,,,,,
UGC03546,1,196.9,30,64251486.473384544,0,21.056799822433575,15.640699420229156,1.203130724633012,32923503.687019154,7.846937290405736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGC03580,1,126.2,47,9075345.970662098,2,34.910534342695726,9.15952774375012,0.53879574963236,226506.25147507054,151.27971764678247,7.359696045569889,19610084947.782288,2.381878334201831,9711486.618925247,5.0,1942297.3237850494,0.2140190941550791,False,17.189249773298762,45642217542.606384,3.506730921282435,383041036.76994324,5.0,76608207.35398865,8.441353927623284,False,,,,,,,,,,,,,,,,
UGC04278,7,91.4,25,2194650.103491329,1,16.980294949727927,0.8859158253869241,0.044295791269346206,75065929.24517268,1.364628215255127,4.723313320372207,7282420299.952285,0.9764082646656345,130586.85734977743,5.0,26117.371469955488,0.011900471710003807,False,,,,,,,,,,,,,,,,,,,,,,,,
UGC04325,9,90.9,8,2142313.945150023,0,6.630470599704663,2.471587516344991,0.4119312527241652,309718025.9940482,1.3598910830779254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGC04499,8,72.8,9,806454.9233539199,0,6.097036265584903,1.702587110912464,0.24322673013035198,37702727.24366317,3.015720116637698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGC05005,10,98.9,11,3105029.3641939084,0,4.913442690469214,0.11765214487247272,0.013072460541385857,6459717.238720737,10.641260164493604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGC05253,2,213.7,73,92117453.99681506,1,59.06408910245726,37.6117918967153,0.5531145867164016,30557046.885922756,8.742504450155854,17.284823883437767,81638417679.87633,6.6539858393631235,4805531373.494939,5.0,961106274.6989877,10.433487173149812,False,,,,,,,,,,,,,,,,,,,,,,,,
UGC05716,9,73.1,12,821180.2339575447,1,18.836218447442057,6.411685198502058,0.9159550283574368,26174598.71251418,2.4632279880341166,6.997755522856086,7451862244.608658,3.2537652063950913,144328.4534372051,5.0,28865.690687441023,0.03515146796498927,False,,,,,,,,,,,,,,,,,,,,,,,,
UGC05721,7,79.7,23,1201209.1805880393,0,14.518917651058063,8.247929219199763,0.39275853424760776,480353999.10663116,1.018038210051651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGC05986,9,113.0,15,5581451.816812575,1,15.712958961209546,2.172707955698495,0.2172707955698495,77249474.87663467,3.062125943725521,3.812932846251256,4202614343.4897423,1.0467248076426967,11948.406575060937,1.0,11948.406575060937,0.0021407345198375945,True,,,,,,,,,,,,,,,,,,,,,,,,
UGC06399,9,85.0,9,1594576.2883355774,0,4.724523006855166,0.33007385218272695,0.04715340745467528,45804280.18109703,3.484253300406596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGC06446,7,82.2,17,1376062.075517823,0,12.410771152052828,6.744344463940395,0.44962296426269305,120531641.91212356,1.9559478101444876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGC06614,1,199.8,13,68520757.85797167,0,6.2050894512638655,1.2352761516878648,0.12352761516878648,4295759.074014428,27.66849171076052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGC06667,6,83.8,9,1497875.476876585,0,5.0539775578232735,0.6595284031508339,0.09421834330726199,60055514.847654276,3.0951804718635065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGC06786,0,219.4,45,103429201.27040446,1,34.83218512487482,15.79887267602322,0.39497181690058053,45954675.67025679,8.645269281545033,2.5867202206836293,11071532516.641003,0.7457483502247935,807799.6646138907,1.0,807799.6646138907,0.00781017019073739,True,,,,,,,,,,,,,,,,,,,,,,,,
UGC06787,2,248.1,71,177647782.7721741,3,83.14177169669445,39.061106659137266,0.8877524240713015,441634402.31700087,1.781337720002554,8.150372012332019,63588289654.14699,1.4472891474187775,1620655008.536651,5.0,324131001.70733017,1.824571050926173,False,19.705208185401123,122498081248.83946,2.2414200442804773,28077755949.768734,5.0,5615551189.953747,31.610589799229064,False,29.999999999999996,229764545407.28873,5.789080434935263,433092947757.41956,5.0,86618589551.48392,487.58609986463307,False,,,,,,,,
