Galaxy,T,V_flat,n_pts,burk_chi2r,can_n,can_chi2r,can_bic,rel_n,rel_chi2r,rel_bic,dchi2r,dbic,dn,class,transition
NGC0801,5,220.1,11,14.406761305082576,1,1.399804866775394,20.388305564644217,1,0.415364192264375,14.481661517578104,0.984440674511019,-5.906644047066113,0,stable_adequate,1→1
NGC0891,3,216.1,14,2.738751674837141,1,0.2704347261393803,15.629199183330716,1,0.2704347261389659,15.629199183326984,4.143907439413397e-13,-3.732125719579926e-12,0,stable_adequate,1→1
NGC1003,6,109.8,36,5.544784288882662,1,0.9840870023373306,48.4242917647378,2,0.3718390156883894,39.07964394692378,0.6122479866489412,-9.344647817814021,1,stable_adequate,1→2
NGC1090,4,164.4,22,1.8877866017933989,1,0.5224274174908414,24.336478364135885,1,0.522427417493671,24.33647836418399,-2.8296254228621365e-12,4.810374321095878e-11,0,stable_adequate,1→1
NGC2403,6,131.2,73,19.028632657596752,2,0.7870304121898094,85.48065232152473,2,1.2323522047239894,114.42656883624645,-0.44532179253418,28.945916514721716,0,stable_adequate,2→2
NGC2683,3,154.0,11,0.691732310613612,0,0.691732310613612,11.021381341119248,0,0.691732310613612,11.021381341119248,0.0,0.0,0,stable_adequate,0→0
NGC2841,3,284.8,50,6.993657983462298,2,2.429663170485036,133.34203720379665,2,0.3254488463459632,44.965035589955626,2.1042143241390727,-88.37700161384103,0,rescued,2→2
NGC2903,4,184.6,29,1.9367804599368843,1,0.8790520486081325,37.93372831652755,1,0.879052048718847,37.933728319184695,-1.1071454864008956e-10,2.6571456146484707e-09,0,stable_adequate,1→1
NGC2976,5,85.4,24,0.2595901499461197,0,0.2595901499461197,12.067090959510526,0,0.2595901499461197,12.067090959510526,0.0,0.0,0,stable_adequate,0→0
NGC2998,5,209.9,13,5.556352301246556,1,0.81625783503355,19.35480946757608,1,0.5067906806998301,16.879072232906324,0.30946715433371985,-2.4757372346697544,0,stable_adequate,1→1
NGC3109,9,66.2,25,0.1490024080221437,0,0.1490024080221437,9.864807034245707,0,0.1490024080221437,9.864807034245707,0.0,0.0,0,stable_adequate,0→0
NGC3198,5,150.1,40,1.7876166361178942,2,0.4522486559656372,43.98299262381188,1,0.5302878399073788,37.00447166732794,-0.07803918394174164,-6.9785209564839406,-1,stable_adequate,2→1
NGC3521,4,213.7,41,0.7924988055474643,1,0.0621076360560266,20.803735231538496,1,0.0615121788061199,20.782298770541857,0.0005954572499067001,-0.02143646099663954,0,stable_adequate,1→1
