Galaxy,T,V_flat,n_pts,M_central_estimate,fw_best_n_shells,fw_best_bic,fw_best_chi2,fw_best_chi2_red,burk_rho0,burk_a_kpc,shell1_r_kpc,shell1_M,shell1_sigma_kpc,shell1_M_BH_single,shell1_decomp_n_BH,shell1_decomp_M_BH_each,shell1_decomp_central_ratio,shell1_decomp_acceptable,shell2_r_kpc,shell2_M,shell2_sigma_kpc,shell2_M_BH_single,shell2_decomp_n_BH,shell2_decomp_M_BH_each,shell2_decomp_central_ratio,shell2_decomp_acceptable
NGC1090,4,164.4,24,29051596.709765334,1,24.33647836414671,8.88126609735513,0.5224274174914783,6346389.547800292,14.897981610037602,4.657117441625834,18166494967.23122,1.0381280705714249,6963530.329388186,5.0,1392706.0658776374,0.04793905408336804,False,,,,,,,,
NGC2403,6,131.2,73,10767401.382423267,2,85.48065232637732,51.1569767971902,0.7870304122644646,9929374.597256687,11.5004828544341,1.0144148561453685,1332080558.0418913,0.3989109319491956,80.669177770561,1.0,80.669177770561,7.491982039626161e-06,True,4.3973679279231686,8710646077.261534,1.1790005083107624,284589.65023700794,3.0,94863.21674566931,0.008810223876349986,True
NGC2683,3,154.0,11,21791804.811994694,0,11.021381341119248,6.225590795522508,0.691732310613612,112155433.73828346,3.9724783829448747,,,,,,,,,,,,,,,,
NGC2841,3,284.8,50,325970247.6773059,2,44.96503558880378,13.668851545378612,0.3254488463185384,377124592.2433467,3.7433335832105197,25.87651367288235,128615678142.66801,5.548242151048032,34707914342.73249,5.0,6941582868.546498,21.295142480053318,False,51.393978899620066,388191640391.8737,6.035376404706548,4239853762071.1147,5.0,847970752414.2229,2601.3746912683614,False
NGC2903,4,184.6,34,48375057.47893993,1,37.9337283165457,21.097249166613327,0.8790520486088886,17718331.669818982,10.040757890046352,7.031294102916244,19598146221.058064,2.1068186648190688,9685793.86700908,5.0,1937158.773401816,0.040044578225982626,False,,,,,,,,
NGC2915,11,83.5,30,1474424.438733975,0,16.436583412614628,9.77217439226422,0.3758528612409316,135241505.32300612,2.026857349031712,,,,,,,,,,,,,,,,
NGC2976,5,85.4,27,1627858.5302729614,0,12.067090959510953,5.71098329881506,0.2595901499461391,83707763.628678,3.3148269456773893,,,,,,,,,,,,,,,,
NGC2998,5,209.9,13,85124928.15531185,1,16.920999482525126,4.096252695217441,0.5120315869021801,559647087.6428887,1.7356895871295845,25.88347376949619,197814144843.00162,9.311213604952249,225797662474.51825,5.0,45159532494.90365,530.5089058343676,False,,,,,,,,
NGC3109,9,66.2,25,530856.5522760485,0,9.864807034247391,3.427055384510991,0.14900240802221698,21153865.15269628,4.6819465914493685,,,,,,,,,,,,,,,,
NGC3198,5,150.1,43,19466015.931973737,1,37.00447166733368,18.560074396764,0.5302878399075429,36038698.477541834,6.172613127133273,79.99999999999905,677611796391.793,24.189571854834515,47837355894996.695,5.0,9567471178999.34,491496.1136595174,False,,,,,,,,
NGC3521,4,213.7,41,92117453.99681506,1,20.80373523154194,2.235874898020399,0.06210763605612219,30054708.786706552,9.629851495789445,1.0837698337773425,2745722707.432891,0.4335079335109369,1875.6704566237245,1.0,1875.6704566237245,2.0361727069536413e-05,True,,,,,,,,
NGC3726,5,168.0,12,31956769.356237844,1,18.0103650091661,5.585831760226099,0.7979759657465856,1285684.8139697106,199.99999999999997,7.26522595047387,17697920726.68725,1.3440740774066016,6215295.302278929,5.0,1243059.0604557858,0.0388981453850605,False,,,,,,,,
NGC3741,10,50.1,21,155771.5073445307,1,21.523293952979813,6.3006817643627,0.39379261027266876,59326254.40934807,1.0423452496520937,4.5581369181670075,2738279894.3864737,1.446603533009282,1853.6536632781128,2.0,926.8268316390564,0.005949912454715669,True,,,,,,,,
NGC3769,3,118.6,12,6905174.536166029,0,10.43777936208641,5.641988816489667,0.6268876462766297,22870875.745616954,6.533191146732119,,,,,,,,,,,,,,,,
NGC3877,5,168.4,13,32292912.22524284,0,11.893078148195617,7.097287602598875,0.788587511399875,612510084.2649623,1.217018928306068,,,,,,,,,,,,,,,,
NGC3893,5,174.0,10,37292261.512982,0,7.431992330958594,2.826822144970502,0.3533527681213128,69404693.34306891,5.128264918629717,,,,,,,,,,,,,,,,
NGC3917,6,135.9,17,12570936.662438303,0,14.467315170018843,8.922137725539281,0.6372955518242344,52879380.324358836,4.610238390512981,,,,,,,,,,,,,,,,
NGC3949,4,163.0,7,27978697.190716844,0,5.981835748084994,2.0900154499743677,0.41800308999487357,25642953.721805986,11.569235248182014,,,,,,,,,,,,,,,,
NGC3953,4,220.8,8,106364801.13919717,0,5.262346993139207,1.1034639097795353,0.18391065162992257,152752492.0114446,3.404674631221639,,,,,,,,,,,,,,,,
NGC3972,4,132.7,10,11319678.420967551,0,10.895041012659231,6.28987082667114,0.7862338533338925,68902651.00749058,3.895629850285015,,,,,,,,,,,,,,,,
NGC3992,4,241.0,9,156342486.9214993,0,9.363774431709484,4.9693252770370435,0.709903611005292,83956376.3943866,6.802961147128208,,,,,,,,,,,,,,,,
NGC4010,7,125.8,12,8949460.375365213,1,13.551599504973275,1.1270662560332738,0.16100946514761055,9227379591.773518,0.10000000000000002,6.163870573283715,22534580036.394444,1.7089812268996176,17778502.995773606,5.0,3555700.599154721,0.3973089381950159,False,,,,,,,,
NGC4013,3,172.9,36,36266028.54290237,1,35.79268789837267,17.87509320609212,0.5766159098739394,36033911.20466482,5.972932303087973,23.566658702622025,72388830890.55806,3.643229149262306,2848205347.7552204,5.0,569641069.5510441,15.707291160297965,False,,,,,,,,
NGC4051,4,157.0,7,23722502.398550097,0,6.98913304470104,3.097312746590413,0.6194625493180826,73619428.77591912,2.8958490413775224,,,,,,,,,,,,,,,,
NGC4085,5,131.5,7,10876153.818072325,0,4.482758427372581,1.2638826025043806,0.4212942008347935,27930684.413429018,6.09585682973553,,,,,,,,,,,,,,,,
NGC4088,4,171.7,12,35171535.37040465,0,6.087889309151591,1.6934401544791522,0.2419200220684503,1960409.2348802122,199.99999999999997,,,,,,,,,,,,,,,,
NGC4100,4,158.2,24,24530733.6453581,0,19.852981940420243,13.496874279724352,0.613494285442016,128980625.71041389,3.7370849069448067,,,,,,,,,,,,,,,,
NGC4138,0,147.3,7,17918189.06328078,0,7.327790448967562,3.435970150856936,0.6871940301713872,222215109.40323406,2.5079577337947,,,,,,,,,,,,,,,,
NGC4157,3,184.7,17,48490467.20473256,0,8.970242295308267,3.554141893103848,0.27339553023875757,8884763.213123666,15.855278058000078,,,,,,,,,,,,,,,,
NGC4183,6,110.6,23,5078372.897058564,0,14.338471720427632,8.067483288569333,0.38416587088425397,64879272.25317342,3.436069326138445,,,,,,,,,,,,,,,,
NGC4217,3,181.3,19,44684033.28426671,0,10.264936690629037,5.469146145032296,0.6076829050035885,9356679.91970346,15.395859625808223,,,,,,,,,,,,,,,,
NGC4559,6,121.2,32,7596500.239556627,0,14.306397016068782,7.37492521046933,0.24583084034897768,18051502.52404454,7.0082258549986385,,,,,,,,,,,,,,,,
NGC5005,4,262.2,18,226561365.20636076,0,5.474463454689915,0.3445647397668419,0.03132406725153108,31530825.09443635,11.575445166419005,,,,,,,,,,,,,,,,
NGC5033,5,194.2,22,60464243.16290597,2,41.70328947617223,17.737431287740307,1.4781192739783588,334261.62964575394,199.99999999999997,7.495374617085971,55575409374.991035,2.4865770626114934,902068705.2391398,5.0,180413741.04782796,2.983808803522897,False,17.795639410124206,129982611335.0089,5.308989805326999,36341334469.43668,5.0,7268266893.887337,120.20768827461855,False
NGC5055,4,179.0,28,42243059.500908844,2,32.10948237189399,7.38114274502746,0.5272244817876757,1995459.9476558955,30.1602350495015,8.787626958440079,15336610332.82639,1.6914162714019614,3333671.616654453,5.0,666734.3233308906,0.01578328679807262,False,14.867556143772866,42796653074.9172,3.2302379966106503,289489393.9171251,5.0,57897878.78342502,1.370589144523951,False
NGC5371,4,209.5,19,84413469.12306911,1,29.021838377824942,14.299643481992742,1.0214031058566244,1297359926.34858,1.0298687401782762,62.595557965732894,999999999999.9999,20.876661957501803,260015956316526.7,5.0,52003191263305.336,616053.2413078322,False,,,,,,,,
NGC5585,7,90.3,24,2080789.4153104878,2,84.24619255896249,58.82176191617893,3.676360119761183,1092811.9709789504,77.97578134008509,3.1972907119744627,4342701877.910409,1.0519299427873585,13780.217484217985,1.0,13780.217484217985,0.006622591110288664,True,6.439615985983351,6481063071.643222,1.1224069192020458,78643.20029834675,4.0,19660.80007458669,0.009448721687030004,True
NGC5907,5,215.0,19,94608738.61937612,2,36.4636239818101,12.90811214847858,1.17346474077078,599929069.8403862,2.0662089248287834,20.712876561994385,82299995906.43175,3.9904796345684805,4977246950.771405,5.0,995449390.154281,10.52174888578855,False,40.28192814767553,138826490312.79114,3.889191959839561,48389897027.045555,5.0,9677979405.409111,102.29477262502087,False
NGC5985,3,293.6,33,372673621.8291424,2,39.16343201486982,11.191371523137976,0.44765486092551904,408602201.21032023,2.2536488171389317,7.344513115002164,120740179817.53206,2.9378052460008117,26366677647.524776,5.0,5273335529.504955,14.150010144594006,False,23.631020499863155,251822509550.36108,5.3679737412797675,645299430853.1665,5.0,129059886170.6333,346.30807927104286,False
NGC6015,6,154.1,44,21854135.87827992,2,61.04634906198574,30.772831990639645,0.854800888628879,12010419.33441968,11.755365301475438,2.6804899576482293,6980463063.760734,0.45681394922323976,108616.65285301085,1.0,108616.65285301085,0.004970073100028688,True,1.0157954716498976,2401615796.0952578,0.2972986878080803,1047.5876298130538,1.0,1047.5876298130538,4.79354404881419e-05,True
NGC6195,3,251.7,23,189272786.98580575,1,21.225757449889734,6.2470960821197785,0.41647307214131857,3775247.840785873,32.018783496595965,2.2777476182239775,4213889845.499592,0.11691894966177556,12088.483636676816,1.0,12088.483636676816,6.386804901638277e-05,True,,,,,,,,
NGC6503,6,116.3,31,6335089.771241936,1,38.12289990152756,20.95296387910183,0.8058832261193012,17907220.677918285,6.949646371301925,3.2011296066066084,4620016493.2248955,0.6542842321088621,18038.45502648272,1.0,18038.45502648272,0.0028473874369338965,True,,,,,,,,
NGC6674,3,241.3,15,157200616.54324117,1,20.92614429672977,7.3858932912187205,0.738589329121872,299992095.86629456,3.855065186583712,58.54713949038424,427193167747.8238,12.024455210533198,6430069949000.235,5.0,1286013989800.047,8180.718486217281,False,,,,,,,,
NGC6946,6,158.9,58,25011928.373852707,2,50.009668632651966,17.951003150792197,0.3819362372508978,19082104.950149823,7.644366195691819,4.249051846305779,5380505143.007234,0.42626565904935415,35000.98538357074,1.0,35000.98538357074,0.001399371726178479,True,11.069691228979467,5730671165.628317,0.1625376090974509,46046.20852436979,1.0,46046.20852436979,0.0018409699498622492,True
NGC7331,3,239.0,36,150713721.15253967,0,18.87845159378895,12.214042573438542,0.4697708682091747,7273057.546579187,23.255105998455157,,,,,,,,,,,,,,,,
NGC7814,2,218.9,18,102396091.4423538,1,14.506688973564003,0.6437453623650974,0.058522305669554305,11534580.906505195,17.618963478145357,5.637714864662031,35137247412.401596,1.8348297113860814,122769264.62175485,5.0,24553852.92435097,0.23979287274040256,False,,,,,,,,
UGC00128,8,129.3,22,10098003.993027901,2,48.28398240161487,23.555642774748343,1.6825459124820246,40133066.6522503,4.6062276344000805,23.62672087541879,49233512845.4346,8.472012637633945,532518358.7290729,5.0,106503671.74581459,10.547002340200036,False,42.19120055050085,39950336243.53658,2.137824811443746,214592188.70115098,5.0,42918437.740230195,4.250190212824529,False
UGC00731,10,73.3,12,831111.9313510051,0,10.671706591895326,5.701893292319326,0.5701893292319327,62015633.50779811,2.356826856993965,,,,,,,,,,,,,,,,
UGC01281,8,55.2,25,238634.90644176232,0,10.320522170416169,3.8827705206797685,0.16881610959477253,28422769.01329979,3.307517251855521,,,,,,,,,,,,,,,,
UGC02259,8,86.2,8,1696031.8288230235,1,11.313411058849823,0.9162033504506442,0.30540111681688137,266126888.32275367,1.270221789360336,24.922608819495302,999999999988.868,6.454083888298821,260015956303934.6,5.0,52003191260786.92,30661683.570452213,False,,,,,,,,
UGC02487,0,332.0,17,640043655.454088,2,29.548923856035096,6.883217103585368,0.7648019003983743,762072.5965215116,125.99709405018953,4.797149125338137,177027273784.7807,0.7197936452845742,139307593059.22156,5.0,27861518611.84431,43.53065353343369,False,23.715461553477862,578376825359.2578,6.6215654130534185,24022452409405.94,5.0,4804490481881.188,7506.504346914548,False
UGC02885,5,289.5,19,350312575.6790032,2,26.212007987509452,2.65649615417793,0.24149965037981183,21652680.80741626,13.843310155294615,0.5462468974931939,13524888533.707748,0.08082799263785582,1929441.3033598743,1.0,1929441.3033598743,0.005507770594932485,True,54.04749070988845,334534378238.5591,9.652784390086389,2219817555770.785,5.0,443963511154.15704,1267.3353512748788,False
UGC02916,2,182.7,43,46222309.046415165,1,34.426080875590586,17.09740136159195,0.6332370874663685,7599335.051980233,13.898676088489214,7.795892377396029,29262464148.380787,1.3364847270302669,55392681.78155634,5.0,11078536.356311267,0.23967942287752236,False,,,,,,,,
