Galaxy,T,V_flat,burk_a_kpc,burk_bic,burk_chi2,burk_chi2_red,burk_rho0,fw_best_bic,fw_best_chi2,fw_best_chi2_red,fw_best_n_shells,fw_n0_bic,fw_n0_chi2,fw_n0_chi2_red,fw_n1_M_sh1,fw_n1_bic,fw_n1_chi2,fw_n1_chi2_red,fw_n1_r_sh1_kpc,fw_n1_sigma_sh1_kpc,fw_n2_M_sh1,fw_n2_M_sh2,fw_n2_bic,fw_n2_chi2,fw_n2_chi2_red,fw_n2_r_sh1_kpc,fw_n2_r_sh2_kpc,fw_n2_sigma_sh1_kpc,fw_n2_sigma_sh2_kpc,is_clean,logM_halo,logM_star,n_excluded,n_pts_total,n_pts_used,nfw_bic,nfw_chi2,nfw_chi2_red,nfw_r_s_kpc,nfw_rho_s,ratio_fw_over_burk,ratio_fw_over_nfw
NGC0024,5,106.3,1.547108646470732,27.882619421423698,21.14802776145075,0.7832602874611388,384963086.2111849,19.958181207337752,3.1217020574053826,0.1300709190585576,1,27.882619421423698,21.14802776145075,0.7832602874611388,12243921609.712854,19.958181207337752,3.1217020574053826,0.1300709190585576,9.442689065799032,1.751080003053968,1014006049.7685438,3779362835.5778704,27.550658028642165,0.6122913887503724,0.02915673279763678,0.7396223402344417,1.940691896964855,0.21207600189218404,0.547779392041172,True,11.502944290218425,9.28880794748348,0,29,29,31.877065443133276,25.142473783160327,0.9312027327096417,4.259937919065017,47513536.95640372,0.14761197084749972,0.12416049766336855
NGC0055,9,85.6,6.473016884025609,12.385495524461493,6.296450649014647,0.3313921394218235,12984409.68104725,12.385495524461493,6.296450649014647,0.3313921394218235,0,12.385495524461493,6.296450649014647,0.3313921394218235,4222882111.706175,16.868681370959735,1.6460691823426188,0.10287932389641367,5.656114295978275,2.0160774841874236,4319322439.169666,1995661825.0033433,25.14697215095704,0.7907926491696556,0.060830203782281204,4.619269308012605,7.129177588337887,1.6198060876106815,0.5348821645101928,True,11.220765790679994,9.364363354615731,0,21,21,53.403923296254305,47.31487842080746,2.4902567589898665,162.75384610930863,124869.98781509908,1.0,0.1330754903989288
NGC0100,6,88.1,4.622228347355938,7.675319269315821,1.5862743938689756,0.08348812599310398,28734348.373896983,7.675319269315821,1.5862743938689756,0.08348812599310398,0,7.675319269315821,1.5862743938689756,0.08348812599310398,310032480.7119364,16.37910197656816,1.1564897879510425,0.07228061174694016,3.423773919609278,0.034742155784435444,445914520.81999767,2173243714.113406,24.46633163503997,0.11015213325258612,0.008473241019429702,1.5009569074756748,3.4443925266912747,0.4229318221896469,0.7454054705943436,True,11.258272221884678,9.208441356438568,0,21,21,20.508429837367846,14.419384961920999,0.7589149979958421,365.23948317394047,83802.26669079221,1.0,0.11000985118699867
NGC0247,7,104.9,3.148944717036364,100.57727352756912,94.06108045152615,3.9192116854802563,52374819.78701707,17.59273500789114,1.3022523177837284,0.062012015132558496,1,100.57727352756912,94.06108045152615,3.9192116854802563,1950870650.5290895,17.59273500789114,1.3022523177837284,0.062012015132558496,2.0452427808304083,0.7586986836798224,2256978968.5317545,5879876551.597028,26.472322907614444,0.40755060344258537,0.022641700191254742,2.143695834072187,7.988190631828775,0.7845216222485719,2.5677061925093816,True,11.485670961229207,9.564192460626195,0,26,26,47.02041968290624,40.50422660686327,1.6876761086193028,21.890329320981444,2045523.3406513543,0.013844751852014253,0.03215102291480532
NGC0289,4,163.0,10.704028605988412,69.48533290959136,62.82092388924095,2.416189380355421,16668600.570355017,53.14859756645568,36.48757501557966,1.5864163050252025,1,69.48533290959136,62.82092388924095,2.416189380355421,33662234430.019066,53.14859756645568,36.48757501557966,1.5864163050252025,8.152670895892939,1.4806722476545193,4179879504.013899,28269221231.75334,60.94805393264214,34.29041785124051,1.7145208925620257,1.2822928076985955,7.667002029092746,0.302514846955868,0.15071152899250626,True,12.059907309860408,10.556694395304326,0,28,28,55.70724385189631,49.0428348315459,1.8862628781363808,22.01370861667304,3885732.7239419227,0.5808188220840337,0.7439940032200115
NGC0300,7,93.3,3.6846763350990335,20.216728238840577,13.778976589104177,0.5990859386567033,48729972.49890625,20.216728238840577,13.778976589104177,0.5990859386567033,0,20.216728238840577,13.778976589104177,0.5990859386567033,3456347422.4240727,21.70203473799709,5.6076556136560844,0.2803827806828042,9.013766079342984,0.2543615534025637,1455325474.7980657,7510624600.8011055,27.73654194849542,1.9855353495498165,0.11679619703234215,3.244779359340703,8.61547680885471,0.08608442360725045,1.0291925892363116,True,11.332989427888034,9.164650215934296,0,25,25,21.381166792922066,14.943415143185664,0.6497137018776376,18.584481048200317,2792064.9755930165,1.0,0.9220768115638893
NGC0801,5,220.1,12.671138210535645,134.4566422913399,129.66085174574317,14.406761305082576,13721604.653364351,20.388305564644217,8.398829200652363,1.399804866775394,1,134.4566422913399,129.66085174574317,14.406761305082576,26872996384.84481,20.388305564644217,8.398829200652363,1.399804866775394,3.0817331240052743,1.2326932496021097,11088934668.271606,19418914647.703564,22.076613425297587,2.893451242910623,0.9644837476368743,1.7700492689730518,4.558701299041519,0.7063991707246262,0.8988451535939495,False,12.45120462430858,11.193917297086106,2,13,11,72.80443722467805,68.00864667908131,7.556516297675701,21.416934012070584,4752044.780835701,0.06477536656262248,0.12349649067837941
NGC0891,3,216.1,17.090871887405804,21.95753960670554,16.98772630712954,1.6987726307129543,9761134.795105364,13.402234996003765,0.9777017470637633,0.13967167815196618,1,21.95753960670554,16.98772630712954,1.6987726307129543,19394338424.51081,13.402234996003765,0.9777017470637633,0.13967167815196618,9.584092190523531,0.7484229961892721,7871824039.8788805,7901464497.435609,21.280942762699134,1.4016895643951326,0.35042239109878315,9.67664253905225,9.727609511458724,0.11887968068681015,0.14487235709385035,False,12.427308797298258,10.83991777567868,6,18,12,30.346059366404013,25.376246066828013,2.5376246066828014,499.99999999990916,84400.09066307824,0.057553420003796145,0.038528226140659205
NGC1003,6,109.8,9.139675969672533,205.11284739042893,197.9458095135167,5.821935573926962,10804985.221707158,48.52577273588358,30.608178043603033,0.9873605820517107,1,205.11284739042893,197.9458095135167,5.821935573926962,9798479912.030512,48.52577273588358,30.608178043603033,0.9873605820517107,5.191431677314389,1.9095937987637803,5409107624.499876,4265557012.613189,53.61463068474574,24.94647917709686,0.8909456848963165,6.281640980635746,3.649294629024877,0.7015826215018047,1.4597178516099507,True,11.545151516990751,9.532754378992498,0,36,36,97.26418334441223,90.09714546750001,2.649916043161765,28.490611942612666,1296427.3127935382,0.15462907812409615,0.33972417089111956
NGC1090,4,164.4,8.087600793004876,41.708927774129904,35.61988289868306,1.8747306788780558,21646786.29443905,24.477739165989348,9.255126977372234,0.5784454360857646,1,41.708927774129904,35.61988289868306,1.8747306788780558,15987824268.40893,24.477739165989348,9.255126977372234,0.5784454360857646,4.650467060802896,0.9402398229845802,9401080562.58221,7914637001.1565275,33.366173796398286,9.009994294610904,0.6930764842008388,3.842450608310708,5.999999999999999,0.20771665118051047,1.2230578425109264,False,12.071049936260628,10.556573850030665,3,24,21,30.151594136843027,24.062549261396182,1.2664499611261149,20.89129094370132,3458113.681801198,0.25983035945675204,0.3846278661845833
