galaxy,r_sh,phi_mid,med_in,med_off,ratio,n_pix_in,tag
NGC5055,14.87,15.0,0.0906134620308876,0.03182716481387615,2.8470478775219568,325,HR_mom0m
NGC5055,14.87,25.0,0.0823676586151123,0.05793195217847824,1.421800155488493,329,HR_mom0m
NGC5055,14.87,35.0,0.10017012804746628,0.049741003662347794,2.0138340739451457,325,HR_mom0m
NGC5055,14.87,45.0,0.1136704832315445,0.044788798317313194,2.537922147993976,327,HR_mom0m
NGC5055,14.87,55.0,0.13176476955413818,0.06598853319883347,1.9967828222080788,327,HR_mom0m
NGC5055,14.87,65.0,0.09472369402647018,0.06396239995956421,1.4809277651612927,325,HR_mom0m
NGC5055,14.87,75.0,0.06675449758768082,0.05124460719525814,1.3026638555999677,327,HR_mom0m
NGC5055,14.87,85.0,0.05337027832865715,0.03238089755177498,1.6482025627400074,326,HR_mom0m
NGC5055,14.87,95.0,0.031338103115558624,0.03019900806248188,1.0377196181649395,325,HR_mom0m
NGC5055,14.87,105.0,0.061615947633981705,0.035378046333789825,1.7416435902830472,327,HR_mom0m
NGC5055,14.87,115.0,0.06782770901918411,0.02606111578643322,2.6026402543552476,326,HR_mom0m
NGC5055,14.87,125.0,0.05227181501686573,0.032394206151366234,1.6136161748375226,326,HR_mom0m
NGC5055,14.87,135.0,0.0411040298640728,0.03058546595275402,1.3439072639130956,323,HR_mom0m
NGC5055,14.87,145.0,0.07244995981454849,0.024620220996439457,2.9427014414300388,284,HR_mom0m
NGC5055,14.87,155.0,0.11232897639274597,0.024141384288668633,4.652963353285023,259,HR_mom0m
NGC5055,14.87,165.0,0.1775057315826416,0.019539342261850834,9.084529520177801,263,HR_mom0m
NGC5055,14.87,175.0,0.2454143464565277,0.021709797903895378,11.304312805808898,295,HR_mom0m
NGC5055,14.87,185.0,0.23070402443408966,0.02031768672168255,11.354837171885707,324,HR_mom0m
NGC5055,14.87,195.0,0.18755276501178741,0.04338282719254494,4.323202915738446,326,HR_mom0m
NGC5055,14.87,205.0,0.15510310232639313,0.05808959901332855,2.6700666721904036,328,HR_mom0m
NGC5055,14.87,215.0,0.08826619759202003,0.057658493518829346,1.5308446718816062,316,HR_mom0m
NGC5055,14.87,225.0,0.05934537574648857,0.11295522749423981,0.5253884841187622,327,HR_mom0m
NGC5055,14.87,235.0,0.12618179619312286,0.08837998658418655,1.4277191145862882,329,HR_mom0m
NGC5055,14.87,245.0,0.14198407530784607,0.05286068841814995,2.6860050361942545,325,HR_mom0m
NGC5055,14.87,255.0,0.09537442773580551,0.04566610045731068,2.0885170132922317,327,HR_mom0m
NGC5055,14.87,265.0,0.0732254683971405,0.05437202751636505,1.346748902734975,324,HR_mom0m
NGC5055,14.87,275.0,0.05574565567076206,0.045358845964074135,1.2289919305908854,324,HR_mom0m
NGC5055,14.87,285.0,0.059566060081124306,0.04519770294427872,1.317900163080398,310,HR_mom0m
NGC5055,14.87,295.0,0.05607277527451515,0.042403362691402435,1.322366239738913,326,HR_mom0m
NGC5055,14.87,305.0,0.06639248877763748,0.037384966388344765,1.7759140957349149,327,HR_mom0m
NGC5055,14.87,315.0,0.07224895805120468,0.03339474834501743,2.1634826322020895,277,HR_mom0m
NGC5055,14.87,325.0,0.0947304368019104,0.032013121992349625,2.9591127296034645,244,HR_mom0m
NGC5055,14.87,335.0,0.07796929031610489,0.04644261300563812,1.6788308251871926,295,HR_mom0m
NGC5055,14.87,345.0,0.11263275146484375,0.033390697091817856,3.3731775995908624,328,HR_mom0m
NGC5055,14.87,355.0,0.1253247857093811,0.021974547766149044,5.703179289197441,325,HR_mom0m
NGC5055,14.87,5.0,0.5565103888511658,0.10341453552246094,5.381355590291227,325,LR_mom0m
NGC5055,14.87,15.0,0.4952327013015747,0.153582863509655,3.224530979463356,325,LR_mom0m
NGC5055,14.87,25.0,0.4090005159378052,0.2697753608226776,1.516078098053735,329,LR_mom0m
NGC5055,14.87,35.0,0.4798654019832611,0.24076969176530838,1.9930473742974786,325,LR_mom0m
NGC5055,14.87,45.0,0.505693793296814,0.25009679049253464,2.021992334651367,327,LR_mom0m
NGC5055,14.87,55.0,0.6263090372085571,0.3152244985103607,1.9868666305070568,327,LR_mom0m
NGC5055,14.87,65.0,0.4882255494594574,0.3203660696744919,1.5239614793024718,325,LR_mom0m
NGC5055,14.87,75.0,0.2965947687625885,0.2396939918398857,1.2373892498762014,327,LR_mom0m
NGC5055,14.87,85.0,0.2519560009241104,0.1550118774175644,1.6253980347931796,326,LR_mom0m
NGC5055,14.87,95.0,0.18671777844429016,0.14803792536258698,1.2612834041477226,325,LR_mom0m
NGC5055,14.87,105.0,0.3165973424911499,0.18146175891160965,1.7447055753789151,327,LR_mom0m
NGC5055,14.87,115.0,0.3767606317996979,0.12810231745243073,2.941091459485918,326,LR_mom0m
NGC5055,14.87,125.0,0.2505176290869713,0.1364087611436844,1.8365215473446885,326,LR_mom0m
NGC5055,14.87,135.0,0.2084946632385254,0.12859858572483063,1.6212827074525744,325,LR_mom0m
NGC5055,14.87,145.0,0.31990981101989746,0.11115718632936478,2.8779948610068926,325,LR_mom0m
NGC5055,14.87,155.0,0.48725277185440063,0.10357147455215454,4.704507432778117,327,LR_mom0m
NGC5055,14.87,165.0,0.7415827512741089,0.08052553236484528,9.209287160178514,326,LR_mom0m
NGC5055,14.87,175.0,1.1062588691711426,0.061479102820158005,17.994063322739613,325,LR_mom0m
NGC5055,14.87,185.0,1.0538127422332764,0.107743289321661,9.780773808447437,324,LR_mom0m
NGC5055,14.87,195.0,0.8843232691287994,0.20881851017475128,4.234889274848035,326,LR_mom0m
NGC5055,14.87,205.0,0.7236512899398804,0.2772851288318634,2.609773170989919,328,LR_mom0m
NGC5055,14.87,215.0,0.44043806195259094,0.3087816834449768,1.42637366646482,328,LR_mom0m
NGC5055,14.87,225.0,0.3428414762020111,0.5036020874977112,0.6807785049214461,327,LR_mom0m
NGC5055,14.87,235.0,0.5258559584617615,0.403171181678772,1.3042994696995458,329,LR_mom0m
NGC5055,14.87,245.0,0.6174503564834595,0.2820277810096741,2.1893245916163124,325,LR_mom0m
NGC5055,14.87,255.0,0.489744633436203,0.22201037406921387,2.2059538230565767,327,LR_mom0m
NGC5055,14.87,265.0,0.350493386387825,0.2498914673924446,1.4025824492734242,324,LR_mom0m
NGC5055,14.87,275.0,0.28513380885124207,0.22420098632574081,1.2717776737920865,326,LR_mom0m
NGC5055,14.87,285.0,0.297349214553833,0.2193683236837387,1.3554792668358018,328,LR_mom0m
NGC5055,14.87,295.0,0.26864930987358093,0.20884768664836884,1.2863408457374894,326,LR_mom0m
NGC5055,14.87,305.0,0.32228606939315796,0.18059703707695007,1.7845590083287801,327,LR_mom0m
NGC5055,14.87,315.0,0.34577131271362305,0.09594787657260895,3.6037411672363504,326,LR_mom0m
NGC5055,14.87,325.0,0.2873660922050476,0.10828834027051926,2.6537122231919645,326,LR_mom0m
NGC5055,14.87,335.0,0.32897308468818665,0.11564777791500092,2.844612240885217,326,LR_mom0m
NGC5055,14.87,345.0,0.511236310005188,0.057195667177438736,8.938374797153324,328,LR_mom0m
NGC5055,14.87,355.0,0.5312430262565613,0.09036936238408089,5.878574466407246,325,LR_mom0m
