HostName,RAJ2000,DEJ2000,amaj,bmin,PA,Dist,T-Type,2SXPSNAME,Favg2SXPS,Fpeak2SXPS,2SXPSSep,4XMMName,Fpeak4XMM,4XMMSep,CSC2Name,FpeakCSC2,CSC2Sep,RABdeg,DEBdeg,SepS-X,SepX-C,SepS-C
NGC0072,4.618209,30.0406944,0.5793886780775628,0.5284087546068295,,106.21846,1.6,,,,,,,,2CXO J001827.1+300210,6.89435875112e-15,22.476887625006,4.61310120930153,30.0362864152132,,,
NGC0071,4.598292,30.0631944,0.9749222998790219,0.729407130137676,109.0,98.90084,-3.2,,,,,,,,2CXO J001827.8+300344,4.82071265622e-15,55.809228270964134,4.61618586705401,30.0624937207162,,,
PGC001224,4.712121,-10.3768517,0.4549566363161256,0.24772509540239518,98.08000183105469,119.67405,3.1,,,,,,,,2CXO J001850.4-102228,4.64584133242e-15,10.573861542338097,4.71017546028543,-10.3746235389651,,,
PGC001224,4.712121,-10.3768517,0.4549566363161256,0.24772509540239518,98.08000183105469,119.67405,3.1,,,,,,,,2CXO J001850.9-102249,1.61116785965e-15,12.79167543286859,4.71245697465469,-10.3803895413702,,,
PGC001224,4.712121,-10.3768517,0.4549566363161256,0.24772509540239518,98.08000183105469,119.67405,3.1,,,,,,,,2CXO J001851.2-102244,7.48043228329e-15,9.042563347206208,4.71335133403238,-10.3790527576952,,,
NGC0134,7.591251,-33.2440594,4.187646410634414,0.8953029270176471,49.58,19.23092,4.0,2SXPS J003013.5-331629,1.131e-13,1.6656e-13,152.5683254116481,,,,,,,7.55654,-33.27494,,,
NGC0134,7.591251,-33.2440594,4.187646410634414,0.8953029270176471,49.58,19.23092,4.0,2SXPS J003015.3-331545,3.477e-14,1.2141e-13,105.85652647248297,,,,,,,7.56394,-33.26258,,,
NGC0134,7.591251,-33.2440594,4.187646410634414,0.8953029270176471,49.58,19.23092,4.0,2SXPS J003024.2-331423,2.697e-13,7.5168e-13,33.333532725039085,,,,,,,7.60116,-33.23993,,,
NGC0151,8.511672,-9.7053003,1.309091504109492,0.803470626506436,75.05999755859375,59.97909,3.9,2SXPS J003358.2-094220,4.44e-14,2.2723e-13,67.86309272496216,,,,2CXO J003358.1-094222,1.16977368581e-14,69.29167563647778,8.49216510269508,-9.70617752974497,,,2.457577428100303
NGC0151,8.511672,-9.7053003,1.3090915041094926,0.8034706265064385,75.06,59.97909,3.9,2SXPS J003404.0-094222,9.744e-14,4.4428e-13,19.171597201667495,,,,,,,8.51699,-9.70624,,,
NGC0151,8.511672,-9.7053003,1.309091504109492,0.803470626506436,75.05999755859375,59.97909,3.9,2SXPS J003404.1-094256,5.149e-14,1.7396e-13,42.665187425470705,,,,2CXO J003404.3-094248,1.02161696859e-14,37.1606494977159,8.51823376826343,-9.71334516464288,,,9.681817431156773
NGC0151,8.511672,-9.7053003,1.309091504109492,0.803470626506436,75.05999755859375,59.97909,3.9,,,,,,,,2CXO J003404.5-094239,6.59499314631e-15,33.410592494106766,8.51912834969187,-9.71096735986486,,,
PGC002051,8.5649415,-21.4178028,0.252330648781764,0.2113343071328016,113.41000366210938,271.01917,-3.3,,,,,,,,2CXO J003414.9-212455,1.87378722031e-15,12.481219891033327,8.56220311245255,-21.4154530789936,,,
ESO242-014,8.635875,-43.6561667,0.746397204789498,0.5104697418538398,72.87999725341797,83.21469,-2.0,,,,,,,,2CXO J003435.0-433941,3.48784934014e-15,32.60773670312555,8.64605441802388,-43.6614399383903,,,
ESO350-040,9.4201395,-33.716339,0.636751540508328,0.47094479826142077,129.2899932861328,126.4154,-3.1,,,,,,,,2CXO J003739.1-334229,3.05267673404e-15,35.845532377416006,9.41314758472635,-33.7082571414937,,,
ESO350-040,9.4201395,-33.716339,0.636751540508328,0.47094479826142077,129.2899932861328,126.4154,-3.1,,,,,,,,2CXO J003739.2-334250,4.36665400553e-15,21.920439812196054,9.41340905552971,-33.713944507744,,,
ESO350-040,9.4201395,-33.716339,0.636751540508328,0.47094479826142077,129.2899932861328,126.4154,-3.1,,,,,,,,2CXO J003740.2-334327,1.28825569438e-15,29.264541065030215,9.4177010342089,-33.7242109521745,,,
ESO350-040,9.4201395,-33.716339,0.636751540508328,0.47094479826142077,129.2899932861328,126.4154,-3.1,,,,,,,,2CXO J003740.4-334324,1.35442261437e-15,26.53954802177965,9.41852294705689,-33.723587441195,,,
ESO350-040,9.4201395,-33.716339,0.636751540508328,0.47094479826142077,129.2899932861328,126.4154,-3.1,,,,,4XMM J003740.9-334330,1.00241e-14,31.817503964651106,2CXO J003740.5-334328,4.30239216176e-15,29.64408486545019,9.41911062776688,-33.7245288791078,,4.876142914281044,
ESO350-040,9.4201395,-33.716339,0.636751540508328,0.47094479826142077,129.2899932861328,126.4154,-3.1,,,,,,,,2CXO J003741.2-334232,1.88028228557e-15,26.914271791936724,9.42176898470223,-33.7089867144068,,,
ESO350-040,9.4201395,-33.716339,0.636751540508328,0.47094479826142077,129.2899932861328,126.4154,-3.1,,,,,,,,2CXO J003741.7-334235,7.15062323408e-16,25.854789754328436,9.42382595776706,-33.7098446880522,,,
ESO350-040,9.4201395,-33.716339,0.636751540508328,0.47094479826142077,129.2899932861328,126.4154,-3.1,,,,,,,,2CXO J003741.7-334243,1.02139048969e-15,19.711907680985245,9.42416119107475,-33.7120042190537,,,
ESO350-040,9.4201395,-33.716339,0.636751540508328,0.47094479826142077,129.2899932861328,126.4154,-3.1,,,,,4XMM J003742.4-334249,2.28065e-15,22.46813347873179,2CXO J003742.4-334249,4.18676521335e-15,21.60362210434829,9.42668668015023,-33.7138184468717,,0.8772227179086556,
ESO350-040,9.4201395,-33.716339,0.636751540508328,0.47094479826142077,129.2899932861328,126.4154,-3.1,,,,,,,,2CXO J003742.4-334304,1.3440031365e-15,21.204753164160728,9.42699527196334,-33.7178139389736,,,
PGC002249,9.4311105,-33.7020623,0.2437642450516932,0.1686436543294344,122.44000244140625,127.64388,2.1,,,,,,,,2CXO J003742.7-334212,2.68704470157e-15,9.975461257348282,9.42825784111909,-33.7034927291028,,,
PGC002249,9.4311105,-33.7020623,0.2437642450516932,0.1686436543294344,122.44000244140625,127.64388,2.1,,,,,,,,2CXO J003742.8-334209,1.99256992926e-15,8.376563679991117,9.42841726812804,-33.7026899085616,,,
ESO350-040,9.4201395,-33.716339,0.636751540508328,0.47094479826142077,129.2899932861328,126.4154,-3.1,,,,,,,,2CXO J003742.8-334314,1.16587408558e-15,29.752662091768073,9.42860197288132,-33.7206700919439,,,
PGC002249,9.4311105,-33.7020623,0.2437642450516932,0.1686436543294344,122.44000244140625,127.64388,2.1,,,,,,,,2CXO J003742.9-334204,2.37591787435e-15,7.31959468038959,9.4289033053181,-33.7011892749898,,,
PGC002249,9.4311105,-33.7020623,0.2437642450516932,0.1686436543294344,122.44000244140625,127.64388,2.1,,,,,,,,2CXO J003743.7-334214,2.36064939147e-15,7.82570575191683,9.4322516607574,-33.7040178443005,,,
NGC0192,9.805866,0.8641204,1.030314956635002,0.40923239406739503,165.30999755859375,59.92389,1.1,,,,,,,,2CXO J003912.0+005153,2.8528215191e-15,21.212592999443327,9.8000376987772,0.864991527166984,,,
NGC0192,9.805866,0.8641204,1.030314956635002,0.40923239406739503,165.30999755859375,59.92389,1.1,,,,,,,,2CXO J003913.2+005142,4.5876491763e-14,9.228507651837251,9.80505201183951,0.861689561815293,,,
NGC0193,9.8273745,3.3313333,1.0374567587274541,0.7227198853729621,55.33000183105469,63.4746,-3.0,,,,,,,,2CXO J003916.9+032024,2.1020334649098e-15,40.49022677026404,9.82043299968427,3.34019220164462,,,
NGC0193,9.8273745,3.3313333,1.0374567587274541,0.7227198853729621,55.33000183105469,63.4746,-3.0,,,,,,,,2CXO J003917.1+031940,3.51755106143e-15,24.801111408142383,9.82139530560841,3.32789369597784,,,
NGC0193,9.8273745,3.3313333,1.0374567587274541,0.7227198853729621,55.33000183105469,63.4746,-3.0,,,,,,,,2CXO J003917.8+031912,2.1106920612e-15,41.602832806597505,9.82439775566212,3.3201655846839,,,
NGC0196,9.824343,0.9127812,0.63528705260427,0.4581102450610002,10.239999771118164,61.12234,-2.0,,,,,,,,2CXO J003918.1+005514,3.7082233765e-15,28.995410059091885,9.82573528875315,0.920714261438369,,,
NGC0193,9.8273745,3.3313333,1.0374567587274541,0.7227198853729621,55.33000183105469,63.4746,-3.0,,,,,,,,2CXO J003918.8+031958,2.08742773124e-15,7.459665449651601,9.82856083157407,3.33303362115432,,,
NGC0193,9.8273745,3.3313333,1.0374567587274541,0.7227198853729621,55.33000183105469,63.4746,-3.0,,,,,,,,2CXO J003919.7+031945,4.61148844734e-15,19.32700368168646,9.83238150450438,3.32937459931691,,,
NGC0201,9.8951715,0.8599237,0.853041194501562,0.659128369278204,146.00999450683594,62.89267,5.0,,,,,,,,2CXO J003933.1+005130,3.08474638336e-15,26.235419400656138,9.88802878376009,0.858473723829429,,,
NGC0201,9.8951715,0.8599237,0.853041194501562,0.659128369278204,146.00999450683594,62.89267,5.0,,,,,,,,2CXO J003934.0+005127,8.6070250369e-15,14.581869664711876,9.89174524050293,0.857762660814046,,,
NGC0214,10.366749,25.4993442,0.939658408401636,0.644124775846566,42.97999954223633,59.42919,5.0,,,,,,,,2CXO J004125.9+252945,1.77081269498e-14,30.5608880146318,10.35809034205,25.4960296751333,,,
PGC093204,10.400862,-9.3251047,0.134576740196346,0.09884848200559321,28.489999771118164,240.43628,-5.0,,,,,,,,2CXO J004136.4-091923,4.91877211939e-15,7.505077727514534,10.4019474320995,-9.32331614707326,,,
PGC002480,10.429146,-9.4394012,0.5597189417335757,0.2971460793077862,135.38999938964844,248.42769,,,,,,,,,2CXO J004142.3-092622,4.80356238229e-15,9.551489047482297,10.4264592541842,-9.43952361702665,,,
PGC093226,10.459044,-9.4298546,0.2618002182928752,0.2055748605522612,131.0500030517578,285.75888,-4.0,,,,,,,,2CXO J004150.7-092543,2.12689142525e-15,9.506558896875898,10.4614378066702,-9.42867271763197,,,
PGC002501,10.4602725,-9.3031528,0.732773920477956,0.469861655282319,148.9499969482422,201.37247,-2.5,,,,,,,,2CXO J004150.7-091824,6.36621575042e-14,13.953313381201138,10.4615277658601,-9.30682543674696,,,
NGC0224,10.6846845,41.2689778,88.91397050194615,34.83132570553845,35.0,0.7656,3.0,2SXPS J004221.4+411600,5.959e-13,1.5278e-11,258.03455065812534,,,,,,,10.58937,41.26675,,,
NGC0224,10.6846845,41.2689778,88.91397050194615,34.83132570553845,35.0,0.7656,3.0,2SXPS J004247.0+411614,0.0,2.0639e-10,31.752085678568246,,,,,,,10.69618,41.27075,,,
NGC0224,10.6846845,41.2689778,88.91397050194615,34.83132570553845,35.0,0.7656,3.0,2SXPS J004252.0+413107,1.681e-11,1.6811e-11,903.2531003984341,,,,,,,10.71669,41.51873,,,
NGC0224,10.6846845,41.2689778,88.91397050194615,34.83132570553845,35.0,0.7656,3.0,,,,,4XMM J004253.1+411423,2.0812e-11,144.25908607627937,,,,10.7213490711122,41.2398919286776,,,
